Country,Year,Obesity_rate_raw,Obesity_rate,Country Code,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density,CountryCode,CO2,GI,EcGI,SoGI,PoGI,GDP_pc,GDP_pc2,EC,POP,URB,REC
Afghanistan,2016,5.5 [3.4-8.1],5.5,AFG,25.7403140364582,38.93563,13.0909996032715,,18019554403.4503,11.81859016,,10.4668076938201,4.38389195513914,,59.0232164144095,10.086,34636207.0,652860.0,Asia,,,2358939795.466971,2129657283.602024,,520.2519549398206,53.05303893637227,,,,,,,,,,,,
Armenia,2016,20.2 [15.7-24.8],20.2,ARM,16.39047353385,70.63154,10.1971998214722,33.7442798606396,10546136240.3952,9.95195866,42.3336875987152,25.5771330395605,-1.40360755900906,24577770.8929434,49.9105094267778,12.426,2865835.0,29740.0,Europe,3558717727.443292,4464568369.743793,1075410585.8777945,1049547118.8714088,-905850642.3005004,3679.952349104258,96.36297915265637,5.0,1.767966404206802,66.47997283935547,66.97559356689453,64.6973648071289,67.76698303222656,3689.8300854067725,,,2865835.0,63.082,13.15
Armenia,2016,20.2 [15.7-24.8],20.2,ARM,16.39047353385,70.63154,10.1971998214722,33.7442798606396,10546136240.3952,9.95195866,42.3336875987152,25.5771330395605,-1.40360755900906,24577770.8929434,49.9105094267778,12.426,2865835.0,29740.0,Asia,3558717727.443292,4464568369.743793,1075410585.8777945,1049547118.8714088,-905850642.3005004,3679.952349104258,96.36297915265637,5.0,1.767966404206802,66.47997283935547,66.97559356689453,64.6973648071289,67.76698303222656,3689.8300854067725,,,2865835.0,63.082,13.15
Azerbaijan,2016,19.9 [15.3-24.9],19.9,AZE,5.60494628069084,64.56339,8.19999980926514,46.4276493913136,37867007022.7844,4.03655434,43.6496693432541,47.5578070076723,12.4433748584372,78146140.90507321,38.6924660572079,5.0,9757812.0,86600.0,Europe,17580761255.52244,16528823355.632196,3105094503.642738,1528522315.406309,1051937899.8902454,3880.68626683773,112.6768129330254,8.0,3.3039578954790274,63.36383056640625,70.29557800292969,55.75996780395508,63.51491165161133,5270.739099155399,,,9757812.0,55.021,1.94
Azerbaijan,2016,19.9 [15.3-24.9],19.9,AZE,5.60494628069084,64.56339,8.19999980926514,46.4276493913136,37867007022.7844,4.03655434,43.6496693432541,47.5578070076723,12.4433748584372,78146140.90507321,38.6924660572079,5.0,9757812.0,86600.0,Asia,17580761255.52244,16528823355.632196,3105094503.642738,1528522315.406309,1051937899.8902454,3880.68626683773,112.6768129330254,8.0,3.3039578954790274,63.36383056640625,70.29557800292969,55.75996780395508,63.51491165161133,5270.739099155399,,,9757812.0,55.021,1.94
Bahrain,2016,29.8 [24.6-35.2],29.8,BHR,0.332168625493488,68.7147,9.85000038146973,74.2008275338583,32234973404.2553,4.86051178,65.4197279781524,39.3054656012409,2.78679347602047,32608898.22037559,59.6022392092638,1.181,1409661.0,779.0,Asia,23918617021.27657,21088031914.893585,3175145003.285813,1566784679.593696,2830585106.382984,22867.181119613368,1809.5776636713736,9.0,21.495309865279665,67.44847106933594,79.8581314086914,72.46760559082031,50.22865295410156,22810.774924092402,,,1409661.0,89.09,0.0
Bangladesh,2016,3.6 [2.4-5.1],3.6,BGD,13.4647923176039,41.01625,13.9817361831665,13.9212044814459,265236389198.948,2.86227322,17.4129456531683,31.0691513830358,5.51352572692992,,51.2078039865767,4.35,159784568.0,147630.0,Asia,36924100099.58924,46185468303.63877,37084652199.55364,7591790137.736462,-9261368204.04953,1659.9624889867212,1082.331287678656,10.0,0.5077392705408197,49.616024017333984,29.07907485961914,46.78835678100586,72.98065948486328,1307.732333422952,,,159784568.0,35.083,30.23
Bhutan,2016,6.4 [4.3-9.0],6.4,BTN,14.3946237291342,64.99022,18.7511940002441,29.6169744797177,2158971717.50418,3.57613945,53.791910552615,42.5511112715639,3.21988689395718,,38.3235222612564,2.774,749761.0,38394.0,Asia,639422102.597536,1161352135.1361043,404832975.1596108,77207839.30400953,-521930032.5385684,2879.546572179908,19.528077303745377,,,,,,,,,,,,
Brunei Darussalam,2016,14.1 [10.5-18.3],14.1,BRN,1.20363347726695,62.85225,11.4419498443604,49.5769062738125,11400467372.4943,2.54828691,37.7413608077216,57.2883572517145,-0.278693265753062,9946337.766046774,42.975287020574,8.432,425994.0,5770.0,Asia,5651999024.038074,4302691524.819653,1304435758.78347,290516617.7320932,1349307499.218421,26762.037428917545,73.82911611785096,18.0,16.35821161800401,61.89582061767578,68.04059600830078,72.24207305908203,46.79771041870117,29601.09984975275,,,425994.0,76.99,0.01
Cambodia,2016,3.9 [2.5-5.6],3.9,KHM,24.7426644196582,53.15749,15.1154346466064,61.2815249294976,20016747858.3122,6.11648464,65.6685040464904,29.4519627452464,3.01913975139129,16817070.835572153,39.8859808153612,0.72,15624584.0,181040.0,Asia,12266568328.866266,13144698877.311523,3025618440.899166,1224321308.1811943,-878130548.4452572,1281.1059710973552,86.30459566946531,20.0,0.7082684569393976,57.531959533691406,66.43656158447266,47.91644287109375,58.24287414550781,1235.3234039579622,,,15624584.0,22.582,58.0
